REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
01-10-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60.1,,,,1
01-11-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60.3,,,,1
01-12-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60.3,,,,1
01-01-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60.6,,,,1
01-02-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,61,,,,1
01-03-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,61.1,,,,1
01-04-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,61.4,,,,1
01-05-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,61.8,,,,1
01-06-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,61.9,,,,1
01-07-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,62,,,,1
01-08-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,62.4,,,,1
01-09-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,62.4,,,,1
01-10-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,62.9,,,,1
01-11-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.1,,,,1
01-12-2002,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.2,,,,1
01-01-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.3,,,,1
01-02-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.6,,,,1
01-03-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.7,,,,1
01-04-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,63.9,,,,1
01-05-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,64.4,,,,1
01-06-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,64.5,,,,1
01-07-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,64.8,,,,1
01-08-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,65.2,,,,1
01-09-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,65.4,,,,1
01-10-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,65.6,,,,1
01-11-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,66.2,,,,1
01-12-2003,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,66.3,,,,1
01-01-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,66.4,,,,1
01-02-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,66.7,,,,1
01-03-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,66.9,,,,1
01-04-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,67.5,,,,1
01-05-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,68.2,,,,1
01-06-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,68.8,,,,1
01-07-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,68.8,,,,1
01-08-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,69.2,,,,1
01-09-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,69.3,,,,1
01-10-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,69.4,,,,1
01-11-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,69.7,,,,1
01-12-2004,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,69.9,,,,1
01-01-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,70,,,,1
01-02-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,70.2,,,,1
01-03-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,70.5,,,,1
01-04-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,70.8,,,,1
01-05-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,71.2,,,,1
01-06-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,71.8,,,,1
01-07-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,71.9,,,,1
01-08-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,72,,,,1
01-09-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,72.2,,,,1
01-10-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,72.5,,,,1
01-11-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,72.6,,,,1
01-12-2005,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,72.6,,,,1
